FID,LSAT_SST,Fetch,Wind,Tidal_Current,Depth,Cluster,Y1973,Y1974,Y1976,Y1977,Y1982,Y1984,Y1985,Y1986,Y1988,Y1989,Y1990,Y1991,Y1992,Y1994,Y1997,Y1998,Y1999,Y2001,Y2002,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Zero_Years,Persistence
20,15.713,84774.5,6.101,0.331,8.386363636,2,40028.34294,10168.18353,17353.4968,3134.973126,8012.236961,0,16630.00628,3634.40412,3653.376032,0,37948.15461,0,11576.91717,0,25858.77098,0,864.2856793,10175.45435,18452.52265,0,0,0,849.2138624,0,820.543287,4743.844387,4757.780621,1289.56037,2010.015543,0,0,9085.798364,15.9601001,0,7269.719623,57.25747014,12,24
21,14.519,80289,5.237,0.113,3.171171171,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.52769803,0,0,0,0,117.2826734,0,0,0,0,0,0,0,0,34,2
22,14.319,80286.9,5.361,0.129,4.420977011,4,0,4694.951246,0,0,11335.05975,19262.25212,28061.59261,0,14225.9065,21443.86123,16973.00779,0,0,11031.17702,10368.13009,0,2501.532517,0,0,1404.810596,11701.51953,0,394.6883481,0,0,2242.393683,4737.981945,3736.223586,0,699.0625907,0,5163.167777,6864.071539,22404.8097,983.5577484,4035.229024,14,22
23,14.418,84878.692,5.594,0.149,5.543735225,4,8497.69649,74803.46077,137879.3242,75045.6559,122323.1309,312446.6865,315989.2712,65173.8359,231031.6569,324020.3142,138071.7961,0,2114.859233,277095.3046,228764.692,0,208045.315,0,46075.22687,130567.3253,190090.4116,2.742411293,69.01666515,15519.18614,0,229577.9501,15803.21785,83236.67142,4255.092355,652.4717652,17073.81164,38961.89239,273416.0279,270034.9846,108868.3676,113652.6117,4,32
24,14.644,80518.08,5.246,0.127,2.857526882,4,41989.43991,23856.62417,32761.98189,6343.184188,205.3544968,5754.155701,14520.24884,1728.233742,15688.79058,26300.38013,14818.16431,22855.46804,0,10141.40069,3527.855895,0,25246.93177,17884.18342,16302.24353,10850.76932,33676.52372,0,22398.59207,8644.388415,6624.959917,35837.9497,22156.23723,21990.07659,40261.05877,21871.76617,39482.30114,35272.1405,31948.70045,36376.23263,20387.84964,31938.25449,3,33
25,14.473,84622,5.785,0.168,6.026206897,4,184563.9077,119625.9658,155613.1691,98873.9261,3655.618606,190681.29,254919.3269,12271.41422,219853.5355,282636.3962,161600.3952,13438.80971,112787.2704,206929.6944,188579.7145,0,204616.231,53948.0052,211451.6393,235959.1281,208064.7202,160.75,7302.622209,24857.43634,56793.8928,267713.6784,79204.25717,126107.0657,37678.66306,1025.414246,0,129515.956,241992.8845,159734.0157,211449.8904,131332.7112,2,34
26,14.665,80567.522,5.207,0.154,1.620286086,4,152941.2735,160534.0111,97428.55079,0,29890.56864,25036.23345,46967.58235,8926.316245,86734.9163,63197.47835,113540.6548,56889.8249,3539.494891,97705.42729,23449.68967,0,100130.7518,148695.5413,137319.8675,128551.6653,178467.5057,4192.247672,199165.7127,217126.5263,145387.7763,221500.2112,109827.9542,144215.3941,171826.3553,130925.3271,132546.0322,166470.3072,216235.5387,239063.4797,230466.5955,204352.5655,2,34
27,14.067,80355.917,5.881,0.187,6.6953125,3,43988.51343,0,10779.48529,6264.61146,0,0,16249.63251,2636.453077,54160.36442,45041.77562,102246.9384,149830.8916,0,12230.29118,27522.94747,0,0,0,19982.53549,71485.99187,34196.28814,12933.78451,373.2540633,0,21266.73471,66514.86239,29719.5795,20020.88261,0,0,0,0,14652.99448,0,38566.07674,0,14,22
28,14.342,80594.261,5.312,0.171,3.324289406,4,63113.21231,41696.16761,25161.46488,0,8187.108981,21033.19327,38224.72078,3506.471928,1473.403415,40295.51858,33771.33462,0,13923.08703,48765.87862,393.5492868,0,0,35194.44213,12566.53079,11495.65987,16920.73523,12059.30706,36027.75115,19477.86892,42711.2915,64129.64745,40795.9945,16313.33359,31891.09842,23187.72494,16164,44968.41378,88470.27289,103264.4203,101879.275,47075.56689,4,32
29,14.005,80531.897,6.015,0.245,11.71800434,3,0,0,0,0,0,0,0,0,0,0,237.729108,33624.48455,0,0,0,0,0,1697.323795,0,0,0,109.8955411,0,0,0,0,0,2.943456968,0,0,0,0,0,0,0,0,31,5
30,14.035,80607.208,5.524,0.185,4.534942821,3,0,943.2504319,0,0,0,0,7341.723021,1697.265824,9778.364478,0,15833.97512,55467.34391,13156.21981,57540.76698,113812.0646,0,0,12.98752443,0,10459.65374,0,0,301.5307173,0,20500.41437,78402.33788,31202.43703,3338.360958,0,0,0,10973.69524,0,26046.43963,0,0,18,18
31,13.992,80490.381,6.126,0.295,10.38202247,3,2437.00552,0,0,0,0,1439.950833,0,0,0,0,10783.63812,0,0,0,0,0,0,848.6654263,0,0,0,0,0,0,5875,0,6316.758793,14.35926276,0,0,0,0,0,0,0,0,29,7
32,14,80621.115,5.775,0.225,12.34416366,3,3590.484816,10779.86064,0,0,0,0,9741.634796,0,0,0,6859.907378,46232.11734,89.87630325,0,11021.42178,0,0,0,0,0,0,0,287.1883086,0,0,0,2623.122771,0,0,0,0,0,0,0,0,0,27,9
33,13.99,80642.923,5.902,0.281,13.38676845,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.964035,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
34,13.967,80654.4,6.116,0.318,11.07272727,3,3893.116211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491.272017,0,0,0,0,0,0,0,0,0,0,19612.52832,64.62306153,0,0,0,0,0,0,0,0,32,4
35,13.939,80659.3,6.122,0.314,12.42356688,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.8447668,0,0,0,0,0,0,0,0,0,0,585.3348093,0,0,0,0,0,0,0,0,0,34,2
36,16.289,84574,6.058,0.248,5.743478261,1,3592.319898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
37,16.64,84573.909,5.58,0.244,3.207573633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253.173917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
38,16.15,84624.778,6.293,0.268,6.189698492,1,18838.08453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
39,16.04,84680.227,6.422,0.289,5.892857143,1,157199.9976,0,10779.2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
40,16.048,82194.04,6.484,0.292,4.733082707,2,292023.0399,3355.382287,73417.97156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728.622666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
41,16.74,84660.282,5.413,0.266,0.481418919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164.164817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
42,16.87,84683.6,6.123,0.277,0.686746988,1,3592.376611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
43,16.361,81716,6.52,0.289,3.535885167,2,225191.7907,50078.27076,22599.60885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.3951899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
44,16.886,82050.222,6.356,0.274,0,2,11863.17892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.4070227,0,0,0,0,0,0,0,0,34,2
45,16.049,83813.85,6.561,0.298,5.228951256,2,244609.0435,227073.8829,160077.4056,0,3575.615262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
46,16.467,84715.222,6.343,0.28,2.885644769,2,272181.5366,219498.3501,182630.9054,1707.334578,0,0,6314.700351,0,0,0,43198.10582,0,0,0,39692.15062,4475.828049,0,119376.8451,181534.4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,25,11
47,15.78,84725.138,6.563,0.312,8.129916567,2,145837.5115,227917.0327,87897.85467,0,21348.15643,0,5024.718228,0,0,0,15109.61982,0,0,0,0,0,0,848.6691785,13453.85817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8
48,16.231,86221.84,5.985,0.3,2.074380165,2,301659.8781,280087.8737,236874.2193,122310.6226,74776.59294,0,179592.6962,26707.88934,19163.14594,0,227595.6669,30415.9234,33812.9046,0,147498.8461,82631.80495,0,212522.8513,245267.2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30791.52341,14633.78136,19,17
49,15.53,84730,6.603,0.331,9.902306649,2,0,0,0,0,57084.89747,0,34559.01536,0,0,0,104869.1834,0,0,0,28891.93038,0,0,0,52079.91617,0,3654.530569,0,0,0,24503.38183,19677.46709,45436.07308,14725.50021,0,0,0,0,39884.52532,0,0,0,25,11
50,16.157,90682.227,5.769,0.315,1.754689755,2,272310.707,227446.4767,140849.7185,45488.30691,88363.31627,905.7709359,39905.76017,12682.63637,23585.75978,3492.098434,162088.1267,62507.46331,93072.03674,22.61923982,117945.7823,30057.08056,0,196609.0425,189609.9078,0,4741.050745,10853.80012,9778.752556,0,8688.625294,3061.405284,1100,6002.226067,18904.86602,2224.466815,0,6937.519085,14619.50767,0,37170.69014,75821.91179,5,31
51,15.955,84769.083,5.991,0.326,3.835411471,2,293553.7094,273653.1286,272932.2274,248352.5248,139139.9102,16998.51236,236279.0396,134682.2945,60376.73357,39939.15039,268236.3294,80267.72779,205461.6521,0,234850.6136,14253.1895,47861.07395,236766.2363,269674.1655,0,2370.984125,17499.75855,997.2338325,0,38284.27339,69716.58193,116133.3338,56804.21495,119515.9598,2241.292235,0,88912.04583,17917.92525,0,132177.786,131995.3173,5,31
52,15.411,84774,6.525,0.34,13.63850688,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
53,15.596,84782.571,6.238,0.329,11.61431624,2,28915.50964,296.7139763,0,0,0,0,450.3642628,0,0,0,28434.9356,0,0,0,312.0979211,848.6329118,0,0,332.0661245,0,0,0,0,0,0,0,0,0,0,0,0,1044.186346,0,0,0,0,28,8
54,15.851,84787.789,5.781,0.311,8.057660626,2,189459.7011,79922.61716,71152.17814,42700.37675,0,5718.719759,90681.63619,21928.85617,16540.34664,10959.22847,99325.86646,6629.429024,25220.47396,0,32929.95029,848.6329119,0,6698.882973,61223.36595,0,0,0,0,0,335.9121241,4371.292836,10161.6749,6566.246068,13465.96427,0,0,22727.17798,773.9999999,0,4854.007503,9116.310486,11,25
55,15.577,84826.571,5.967,0.3,9.621145374,2,12809.663,23216.5609,0,0,0,0,16291.21647,0,3017.125073,8860.788917,38798.57964,0,0,0,8391.282843,0,0,0,1728.463352,0,0,1155.189813,0,0,0,0,619.3777715,773.5843213,0,0,0,9096.633486,0,0,0,0,24,12
56,14.262,80287.8,5.315,0.118,4.221763085,4,945.9941932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
57,14.492,80289,5.212,0.105,6.543252595,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.58391101,0,0,0,0,0,0,0,0,35,1
58,14.175,83073.167,5.545,0.135,7.105459057,4,6275.991116,132.4572639,0,0,3575.615262,37843.28629,56122.75296,0,37.70935384,21175.90968,9935.618279,0,0,797.6752316,1430.74713,0,4550.975886,0,0,0,0,0,0,0,0,1573.938102,0,286.0849752,0,0,0,0,34586.57351,867.8960394,187.9194381,0,20,16
59,14.301,85060,5.707,0.153,7.1167979,4,4348.093192,1715.934846,10836.40738,31143.07613,53281.49464,148101.052,158530.5236,0,59830.96224,109443.6528,15878.46358,0,3814.963,76876.75953,114399.6955,0,125604.9803,0,27286.84597,46458.51789,41021.75427,0,229.6546741,537.3006391,0,128778.6632,16624.58693,45459.01794,0,0,945.1989388,19466.15109,81274.34739,98850.75528,60538.42197,26808.26962,8,28
60,14.66,83546.955,5.172,0.116,4.187418087,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.259436,0,0,0,0,0,0,0,0,0,7.176640538,0,0,0,0,0,0,0,0,34,2
61,14.165,81453.75,5.888,0.179,8.80375,4,13444.29298,0,294.9018348,0,0,42620.29512,150198.3138,0,32285.25636,71483.23435,23163.35008,289.830522,0,68272.29894,44955.32249,0,24404.8525,0,38876.58692,53952.15107,12259.51687,394.9777408,86.13329427,0,2285.353731,46668.84815,3815.627492,8262.390201,0,0,0,741.515445,38694.48619,0,24255.03644,0,13,23
62,14.675,80563.12,5.135,0.137,1.489878543,4,15976.02067,34331.15799,13020.14841,0,3574.932922,0,0,10633.59701,23559.00988,11168.84785,20403.86839,74.96496103,0,20862.12755,1335.996604,0,5337.717061,10232.56814,25165.81702,24328.02365,40102.5889,8576.745463,65795.35218,43323.9495,8060.046115,46167.46866,8231.223885,43115.59211,30310.59979,30240.35241,23299.59855,47311.56025,43951.72856,60757.65276,46450.64996,62507.24865,5,31
63,14.336,80258,6.549,0.31,11.62227074,3,2033.527681,0,845.2418748,0,8726.513788,0,19109.86978,14740.55882,7144.971421,14446.46409,13522.31825,11730.35306,1728.582462,19180.17425,14399.55387,0,8064.272276,0,848.6840104,4112.108552,16023.29926,0,3338.390204,0,0,31874.23673,26423.7078,7998.324131,0,326.2665229,711,0,459,2526.768457,0,2947.121897,11,25
64,14.113,80252,6.009,0.223,13.70649652,3,3592.378429,0,0,0,0,0,0,0,0,0,34965.508,47136.29192,0,0,20053.38069,0,0,0,0,0,1126.70307,2313.487745,0,0,3196.995328,0,3152.598178,107.6735003,0,885.7647762,0,0,0,0,0,0,26,10
65,14.471,80574.095,5.011,0.163,1.787234043,4,6764.531364,45697.71454,25945.73195,0,3574.932922,2288.923769,1675.923411,6268.264328,10755.62797,3718.86068,10776.76023,0,0,7503.732242,0,0,0,13855.21996,30117.28577,15775.30845,12631.51996,9889.678306,22283.99626,32170.81496,12182.81548,65182.80997,15590.46331,31492.05096,27990.47926,26604.522,3292.130096,33076.55009,75212.19444,113372.8499,38234.60806,46799.94094,6,30
66,14.449,80597.154,5.165,0.18,2.603254068,4,22097.38344,18917.65709,80.60628101,934.3283808,1699.76297,4325.223085,24714.75345,848.6329119,0,664.0029936,91.90867703,0,0,0,0,0,6290.776289,0,0,3650.246563,1.436822034,0,367.6096408,0,81.3627369,4905.348159,6687.518161,1174.547332,210.4578812,0,55.93035538,3148.770975,5748.699486,986.1381187,345.955866,3594.325013,11,25
67,14.174,80612.083,5.494,0.199,4.992248062,3,54536.33355,2830.269276,8649.265673,9903.873001,3573.568243,22061.97788,56622.78266,8528.485233,39073.89612,64573.05428,25388.96765,34496.90135,20197.77072,43294.28111,80307.96449,0,47307.56497,27503.39367,44161.06627,41483.47154,40246.27621,1005.738984,17178.61937,6978.067898,71301.93821,100303.3873,119646.5621,54263.2539,26358.20233,8859.450974,2014.174986,90049.29801,37643.83425,76016.99345,53461.87523,19268.93936,1,35
68,14.11,80465,6.201,0.305,10.57032258,3,854.7156904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47230.40885,43.07842546,0,0,0,0,0,0,0,0,33,3
69,14.328,80617.25,6.433,0.319,14.33969466,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261.359433,0,0,0,0,0,0,0,0,0,35,1
70,14.047,80628.538,5.685,0.238,12.47491249,3,3592.376539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671.705728,0,0,0,0,78.98339667,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
71,14.052,80660.303,6.258,0.321,13.9156746,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17470.76222,21.54073198,0,0,0,0,0,0,0,0,34,2
72,13.956,80651.435,5.855,0.287,12.56629834,3,7184.803739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.8118732,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
73,13.878,80666.563,6.172,0.312,14.4357213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524.504297,0,0,0,0,0,0,0,0,0,35,1
74,16.327,84574,6.08,0.252,6.549275362,1,1193.801905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
75,16.593,84573.917,5.647,0.246,2.907773386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.0321251,0,0,0,0,592.0348913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
76,15.948,84556.708,6.459,0.293,7.217884131,1,24145.90997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
77,15.814,81847.478,6.501,0.3,6.030463576,2,227629.4806,1109.943221,55544.17134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
78,15.965,81716,6.567,0.298,5.279258401,2,314596.1361,35774.65981,230372.6708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3047.014133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
79,17.222,84652.952,4.735,0.263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381.76668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
80,17.268,85352.571,5.863,0.272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848.6577127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
81,15.906,82396.227,6.628,0.305,5.837340877,2,214256.9301,124353.6045,45028.29787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
82,16.833,84603.172,6.093,0.266,0,2,7664.568408,274.7231117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
83,15.699,84719.15,6.613,0.316,8.797650131,2,94444.54889,136671.6543,20981.8371,0,3041.497874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
84,16.644,84724.556,5.147,0.283,0,2,43525.46804,18901.05253,7475.983472,0,0,0,17.65035559,0,0,0,198.6932897,0,0,0,0,0,0,107.9911302,126.9999739,0,0,0,0,0,0,0,0,28.65511604,0,0,0,0,0,0,0,0,28,8
85,15.545,84729.308,6.644,0.327,13.45932416,2,3273.216689,15021.0701,181.7500027,0,532.7514075,0,0,0,0,0,1.509425736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5
86,16.591,89241.414,4.779,0.301,0,2,48972.01202,8349.563319,0,381.5215213,0,0,0,0,0,0,0,1531.090268,16939.93883,0,6114.571232,0,0,1252.039641,0,0,0,823.9498769,14219.80984,0,1611.374706,0,0,0,1690.161233,0,0,0,747,0,800.9999999,4703.428229,22,14
87,16.267,85341.75,4.92,0.307,0,2,26869.54376,13462.23923,2623.731078,830.6702038,7410.650467,0,0,541.127311,0,6894.862864,19366.10057,110.9420038,7152.141426,0,1666.254324,0,0,13195.48938,11929.8917,0,395.1949309,0,0,0,0,0,0,738.1572392,2810.992322,9210.173347,0,0,0,0,14567.91568,20236.98581,17,19
88,15.288,84776.762,6.638,0.337,14.13088235,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.167211224,0,0,0,0,0,0,0,0,35,1
89,15.368,84800.571,6.518,0.332,17.02321981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.413064,0,0,0,0,0,0,0,0,0,35,1
90,16.383,84783.241,4.81,0.301,0,2,98170.35992,78718.20814,81406.08712,88161.29101,32930.60876,13913.27831,56737.95691,23061.85542,15218.8918,5022.942352,69681.82601,17887.53771,34869.31654,0,58593.64612,10.72028988,848.6329119,70903.41654,105369.1592,0,22628.14273,16199.3017,29334.72262,0,25976.77358,31542.21767,66208.65933,59112.73963,80846.0556,3179.75762,0,8582.085347,0,1323,16420.43809,16747.89548,5,31
